packaging_material,submission_id,reporting_period,organisation_id,site_id,nation,packaging_class,activity,weight_tonnes,submission_date
Plastic,REC-2509-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-11-22
Glass,REC-2510-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-01-23
Steel,REC-2511-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-05-05
Plastic,REC-2512-Q4 2024-SITE-A-PL02,,ORG-12345,SITE-A,England,Secondary,Exported,,2024-08-30
Glass,REC-2513-2024-Q1-SITE-E-GL01,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-04-06
Other,REC-2514-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-08-18
,REC-2515-2024-Q1-SITE-A-UNKNOWN,2024-Q1,ORG-12345,SITE-A,England,Primary,Exported,,2024-07-11
Aluminium,REC-2516-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-03-04
Plastic,REC-2517-Q2 2024-SITE-Z-PL01,2024-Q2,ORG-12345,SITE-Z,,Secondary,Exported,,2024-05-14
Other,REC-2518-Q2 2024-SITE-D-OT01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-10-30
Plastic,REC-2519-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-05-18
Aluminium,REC-2520-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Primary,Exported,,2024-04-28
Aluminium,REC-2521-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-03-13
Other,REC-2522-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-10-23
Steel,REC-2523-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-09-29
Glass,REC-2524-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-04-19
Wood,REC-2525-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Tertiary,Exported,,2025-01-07
Plastic,REC-2526-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Secondary,Imported,,2024-07-22
Glass,REC-2527-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-11-28
Glass,REC-2528-Q4 2024-SITE-A-GL01,,ORG-12345,SITE-A,England,Secondary,Exported,,2025-01-04
Plastic,REC-2529-2024-Q3-SITE-E-PL02,2024-Q3,ORG-12345,SITE-E,England,Secondary,Exported,,2024-12-18
Wood,REC-2530-Q4 2024-SITE-D-WD01,,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2025-01-05
Fibre-based composite,REC-2531-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Shipment,Imported,,2024-06-28
Wood,REC-2532-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-11-18
Steel,REC-2533-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-11-06
Plastic,REC-2534-Q4 2024-SITE-E-PL01,,ORG-12345,SITE-E,England,Secondary,Imported,,2024-11-12
Steel,REC-2535-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-01-16
Other,REC-2536-2024-Q3-SITE-C-OT01,2024-Q3,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-11-26
Steel,REC-2537-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Secondary,Imported,,2024-08-12
Wood,REC-2538-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-11-07
Other,REC-2539-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-06-11
Paper/card,REC-2540-2024-Q3-SITE-A-PC01,2024-Q3,ORG-12345,SITE-A,England,Primary,Exported,,2024-03-15
Plastic,REC-2541-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Primary,Imported,,2024-06-11
Other,REC-2542-2024-Q3-SITE-C-OT01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-10-07
Plastic,REC-2543-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-06-19
Other,REC-2544-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-07-10
Fibre-based composite,REC-2545-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-01-15
Aluminium,REC-2546-2024-Q1-SITE-D-AL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-11-15
Paper/card,REC-2547-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-10-26
Steel,REC-2548-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-08-31
Plastic,REC-2549-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Shipment,Imported,,2024-08-14
Plastic,REC-2550-2024-Q3-SITE-D-PL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-03-17
Plastic,REC-2551-Q2 2024-SITE-C-PL01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-11-14
Plastic,REC-2552-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-04-08
Steel,REC-2553-2024-Q3-SITE-A-ST01,2024-Q3,ORG-12345,SITE-A,England,Primary,Imported,,2024-11-22
Fibre-based composite,REC-2554-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-03-18
Plastic,REC-2555-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-09-26
Steel,REC-2556-2024-Q3-SITE-C-ST01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-05-08
Fibre-based composite,REC-2557-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-01-18
Wood,REC-2558-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-03-07
Glass,REC-2559-Q2 2024-SITE-D-GL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-04-18
Plastic,REC-2560-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-09-08
Wood,REC-2561-2024-Q3-SITE-E-WD01,2024-Q3,ORG-12345,SITE-E,England,Primary,Imported,,2024-06-27
Paper/card,REC-2562-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-06-23
Plastic,REC-2563-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-02-27
Wood,REC-2564-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-06-20
Plastic,REC-2565-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-12-06
Aluminium,REC-2566-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-07-15
Steel,REC-2567-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-07-03
Aluminium,REC-2568-2024-Q1-SITE-B-AL01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-05-05
Fibre-based composite,REC-2569-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-02-03
Other,REC-2570-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Exported,,2024-04-13
Wood,REC-2571-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Shipment,Imported,,2024-06-24
Plastic,REC-2572-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-05-02
Paper/card,REC-2573-2024-Q1-SITE-A-PC01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-08-19
Wood,REC-2574-2024-Q1-SITE-D-WD01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-09-16
Wood,REC-2575-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-05-08
Aluminium,REC-2576-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-07-07
Plastic,REC-2577-2024-Q1-SITE-A-PL01,2024-Q1,ORG-12345,SITE-A,England,Shipment,Exported,,2024-10-13
Other,REC-2578-Q2 2024-SITE-E-OT01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Imported,,2024-07-07
Glass,REC-2579-2024-Q3-SITE-E-GL01,2024-Q3,ORG-12345,SITE-E,England,Primary,Exported,,2024-04-11
Steel,REC-2580-Q4 2024-SITE-E-ST01,,ORG-12345,SITE-E,England,Secondary,Imported,,2024-07-22
Wood,REC-2581-2024-Q3-SITE-D-WD01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-11-02
Paper/card,REC-2582-2024-Q1-SITE-E-PC01,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-03-28
Plastic,REC-2583-2024-Q3-SITE-B-PL02,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-10-17
Aluminium,REC-2584-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-07-01
Other,REC-2585-Q2 2024-SITE-C-OT01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-09-25
Glass,REC-2586-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Shipment,Imported,,2024-05-05
Plastic,REC-2587-2024-Q1-SITE-E-PL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-11-05
Aluminium,REC-2588-2024-Q3-SITE-C-AL01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-01-20
Plastic,REC-2589-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-11-05
Plastic,REC-2590-Q2 2024-SITE-D-PL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-07-24
Plastic,REC-2591-2024-Q1-SITE-D-PL02,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-06-26
Aluminium,REC-2592-Q2 2024-SITE-A-AL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-02-24
Plastic,REC-2593-Q2 2024-SITE-C-PL01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-06-24
Paper/card,REC-2594-2024-Q1-SITE-E-PC01,2024-Q1,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-10-12
Paper/card,REC-2595-2024-Q3-SITE-A-PC01,2024-Q3,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-02-15
Glass,REC-2596-2024-Q1-SITE-D-GL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2025-01-05
Other,REC-2597-Q4 2024-SITE-B-OT01,,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-05-05
Paper/card,REC-2598-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-11-26
Plastic,REC-2599-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-12-04
Steel,REC-2600-Q4 2024-SITE-D-ST01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-11-09
Wood,REC-2601-2024Q2-SITE-A-WD01,2024-Q2,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-05-20
Fibre-based composite,REC-2602-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-09-19
Glass,REC-2603-Q4 2024-SITE-D-GL01,,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-07-08
Aluminium,REC-2604-2024-Q3-SITE-C-AL01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2025-01-09
Fibre-based composite,REC-2605-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-10-15
Steel,REC-2606-2024-Q1-SITE-A-ST01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Imported,,2024-12-22
Other,REC-2607-2024-Q3-SITE-A-OT01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-03-15
Fibre-based composite,REC-2608-2024-Q3-SITE-C-FB01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-06-01
Wood,REC-2609-2024-Q3-SITE-E-WD01,2024-Q3,ORG-12345,SITE-E,England,Primary,Exported,,2024-01-26
Fibre-based composite,REC-2610-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-04-12
Glass,REC-2611-Q4 2024-SITE-E-GL01,,ORG-12345,SITE-E,England,Shipment,Exported,,2024-06-26
Paper/card,REC-2612-Q4 2024-SITE-E-PC01,,ORG-12345,SITE-E,England,Primary,Exported,,2024-09-22
Plastic,REC-2613-2024-Q1-SITE-D-PL02,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-07-29
Steel,REC-2614-2024-Q3-SITE-B-ST01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-11-12
,REC-2615-Q4 2024-SITE-B-UNKNOWN,,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-12-13
Paper/card,REC-2616-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Shipment,Supplied as goods,,2024-09-01
Plastic,REC-2617-2024-Q1-SITE-Z-PL01,2024-Q1,ORG-12345,SITE-Z,,Tertiary,Imported,,2024-03-12
Paper/card,REC-2618-Q2 2024-SITE-A-PC01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-03-20
Fibre-based composite,REC-2619-2024-Q3-SITE-A-FB01,2024-Q3,ORG-12345,SITE-A,England,Primary,Imported,,2024-12-15
Glass,REC-2620-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-03-23
Plastic,REC-2621-2024-Q3-SITE-D-PL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-10-30
Aluminium,REC-2622-2024-Q1-SITE-E-AL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Imported,,2024-11-28
Wood,REC-2623-2024-Q3-SITE-B-WD01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-09-09
Plastic,REC-2624-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-11-04
Fibre-based composite,REC-2625-2024-Q3-SITE-D-FB01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-04-18
Steel,REC-2626-Q4 2024-SITE-B-ST01,,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-03-10
Other,REC-2627-Q4 2024-SITE-C-OT01,,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-08-22
Plastic,REC-2628-Q2 2024-SITE-A-PL02,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-08-06
Wood,REC-2629-2024-Q1-SITE-A-WD01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-07-04
Aluminium,REC-2630-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Secondary,Imported,,2024-08-11
Other,REC-2631-2024-Q3-SITE-D-OT01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Shipment,Supplied as goods,,2024-02-14
Plastic,REC-2632-Q4 2024-SITE-A-PL02,,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-11-25
Wood,REC-2633-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-03-02
Plastic,REC-2634-Q4 2024-SITE-E-PL02,,ORG-12345,SITE-E,England,Primary,Exported,,2024-12-15
Fibre-based composite,REC-2635-2024-Q3-SITE-C-FB01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-06-06
Fibre-based composite,REC-2636-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-02-19
Wood,REC-2637-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-03-29
Aluminium,REC-2638-2024-Q3-SITE-B-AL01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-03-02
Fibre-based composite,REC-2639-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-03-27
Plastic,REC-2640-Q2 2024-SITE-D-PL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-11-25
Plastic,REC-2641-2024-Q1-SITE-C-PL01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-03-21
Wood,REC-2642-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-03-23
Steel,REC-2643-Q4 2024-SITE-A-ST01,,ORG-12345,SITE-A,England,Secondary,Exported,,2024-03-22
Plastic,REC-2644-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-08-22
Other,REC-2645-Q4 2024-SITE-C-OT01,,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-08-21
Other,REC-2646-2024-Q1-SITE-D-OT01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-09-27
Other,REC-2647-Q2 2024-SITE-E-OT01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Imported,,2024-12-16
Other,REC-2648-2024-Q3-SITE-D-OT01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-10-31
Glass,REC-2649-Q2 2024-SITE-D-GL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-11-21
Glass,REC-2650-2024-Q3-SITE-C-GL01,2024-Q3,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-08-25
Steel,REC-2651-Q4 2024-SITE-B-ST01,,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-06-03
Fibre-based composite,REC-2652-2024-Q1-SITE-B-FB01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-04-26
Wood,REC-2653-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-04-30
Aluminium,REC-2654-2024-Q3-SITE-B-AL01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-08-08
Wood,REC-2655-2024-Q1-SITE-A-WD01,2024-Q1,ORG-12345,SITE-A,England,Primary,Exported,,2024-05-23
Plastic,REC-2656-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-03-26
Wood,REC-2657-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Primary,Imported,,2024-01-19
Other,REC-2658-Q4 2024-SITE-E-OT01,,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-05-26
Fibre-based composite,REC-2659-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-03-15
Plastic,REC-2660-2024-Q1-SITE-A-PL02,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-03-02
Other,REC-2661-Q2 2024-SITE-E-OT01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-06-21
Glass,REC-2662-2024-Q3-SITE-A-GL01,2024-Q3,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-06-28
Aluminium,REC-2663-Q4 2024-SITE-C-AL01,,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-11-20
Steel,REC-2664-Q4 2024-SITE-D-ST01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-03-30
Plastic,REC-2665-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-10-17
Plastic,REC-2666-Q4 2024-SITE-B-PL02,,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-06-10
Plastic,REC-2667-2024-Q1-SITE-E-PL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Imported,,2024-05-28
Paper/card,REC-2668-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-04-05
Aluminium,REC-2669-Q2 2024-SITE-A-AL01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Imported,,2024-03-03
Other,REC-2670-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-08-16
Plastic,REC-2671-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-12-20
Fibre-based composite,REC-2672-2024-Q1-SITE-B-FB01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-08-20
Fibre-based composite,REC-2673-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-02-28
Plastic,REC-2674-Q2 2024-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-12-01
Fibre-based composite,REC-2675-2024-Q3-SITE-C-FB01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-09-25
Fibre-based composite,REC-2676-Q4 2024-SITE-C-FB01,,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-02-07
Steel,REC-2677-Q2 2024-SITE-D-ST01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-06-16
Fibre-based composite,REC-2678-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-07-20
Wood,REC-2679-Q4 2024-SITE-C-WD01,,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-05-26
Aluminium,REC-2680-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-04-10
Glass,REC-2681-Q2 2024-SITE-D-GL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-09-02
Plastic,REC-2682-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-03-21
Steel,REC-2683-Q4 2024-SITE-E-ST01,,ORG-12345,SITE-E,England,Primary,Exported,,2024-06-01
Steel,REC-2684-2024-Q1-SITE-E-ST01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Imported,,2024-04-30
Paper/card,REC-2685-2024-Q3-SITE-E-PC01,2024-Q3,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-10-30
Wood,REC-2686-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-02-11
Steel,REC-2687-Q2 2024-SITE-E-ST01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-04-01
Plastic,REC-2688-2024-Q3-SITE-E-PL02,2024-Q3,ORG-12345,SITE-E,England,Secondary,Exported,,2024-07-15
Steel,REC-2689-2024-Q3-SITE-C-ST01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-02-29
Plastic,REC-2690-2024-Q1-SITE-B-PL02,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-03-30
Wood,REC-2691-2024-Q3-SITE-B-WD01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-07-05
Steel,REC-2692-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Shipment,Exported,,2024-08-16
Other,REC-2693-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-02-06
Glass,REC-2694-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-06-05
Plastic,REC-2695-Q4 2024-SITE-A-PL02,,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-06-22
Other,REC-2696-Q2 2024-SITE-D-OT01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-12-08
Other,REC-2697-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-04-27
Plastic,REC-2698-2024-Q1-SITE-A-PL02,2024-Q1,ORG-12345,SITE-A,England,Shipment,Imported,,2024-01-31
Plastic,REC-2699-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Imported,,2025-01-02
Wood,REC-2700-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-03-08
Fibre-based composite,REC-2701-2024Q2-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Primary,Imported,,2024-11-07
Steel,REC-2702-2024-Q1-SITE-C-ST01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-03-16
Plastic,REC-2703-Q2 2024-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Primary,Imported,,2024-03-16
Plastic,REC-2704-2024-Q1-SITE-E-PL01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-03-25
Wood,REC-2705-Q4 2024-SITE-A-WD01,,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-08-20
Plastic,REC-2706-Q2 2024-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-12-26
Fibre-based composite,REC-2707-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Imported,,2024-03-15
Aluminium,REC-2708-Q2 2024-SITE-A-AL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Imported,,2024-10-21
Plastic,REC-2709-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-01-31
Plastic,REC-2710-Q2 2024-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-08-04
